0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,angle,yarnwidth,yarnheight,space,epoxy_e,epoxy_v,epoxy_CLTE,fibre_diameter (mm),fibre_num,fibre_e1,fibre_e2,fibre_e3,fibre_g12,fibre_g23,fibre_g13,fibre_v1,fibre_v2,fibre_v3,fibre_CLTE1,fibre_CLTE2,fibre_CLTE3,E1,E2,E3,G12,G23,G13,v12,v23,v13,CLTE1,CLTE2,CLTE3
1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0.672557658,0.121022214,1.136446183,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40829000000,40808000000,37670000000,14063000000,11483000000,11521000000,0.2838,0.3457,0.3455,2.96E-05,2.98E-05,4.72E-05
1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0.661116647,0.20910482,1.279668029,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,37272000000,37215000000,34400000000,12615000000,10948000000,10977000000,0.2959,0.3619,0.3611,3.37E-05,3.39E-05,4.87E-05
1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0.805330863,0.284491803,1.400247552,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39734000000,39718000000,36677000000,13494000000,11819000000,11873000000,0.2858,0.352,0.3519,3.09E-05,3.11E-05,4.50E-05
1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.26372077,0.10017554,0.486058597,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38563000000,38633000000,35609000000,13045000000,11531000000,11615000000,0.2891,0.3566,0.3578,3.22E-05,3.23E-05,4.60E-05
1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0.59379721,0.296100735,1.077631196,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38500000000,38433000000,35621000000,12868000000,11895000000,11923000000,0.2907,0.3574,0.3563,3.26E-05,3.27E-05,4.42E-05
0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0.526315802,0.277594827,0.804577896,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41245000000,41032000000,38500000000,13774000000,12923000000,12900000000,0.2854,0.3427,0.3396,3.00E-05,3.02E-05,3.98E-05
1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0.803828623,0.36267913,1.465640932,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38560000000,38491000000,35627000000,12976000000,11775000000,11815000000,0.2903,0.3574,0.3564,3.23E-05,3.25E-05,4.49E-05
1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0.988581749,0.16340648,1.746670185,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40381000000,40373000000,37233000000,13911000000,11265000000,11296000000,0.2853,0.3475,0.3475,3.00E-05,3.02E-05,4.83E-05
0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0.889003556,0.223910417,1.428367221,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41147000000,41158000000,38048000000,14064000000,11930000000,11969000000,0.2819,0.3444,0.3446,2.96E-05,2.96E-05,4.48E-05
1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0.283937487,0.374597684,0.497643916,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40502000000,39982000000,38926000000,13034000000,13403000000,13399000000,0.3024,0.3344,0.327,3.20E-05,3.30E-05,3.54E-05
